Index,텍스트,스프라이트 번호,선택지 유무,선택지 개수,선택지 텍스트 1,선택지 텍스트 1,선택지 텍스트 3,선택지 이벤트 1,선택지 이벤트 2,선택지 이벤트 3,사운드 유무,사운드 번호,엔드 이벤트 유무,엔드 이벤트 번호,점프 번호
0,고맙다냥!:덕분에 많은 도움을 받을 수 있었다 냥!,8,TRUE,2,고생 많았어!,많이 힘들었다. 그치?,null,0,0,-1,TRUE,0,FALSE,-1,-1
0,이번 우리의 목표는:섬이다냥!,7,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,알겠지만 우리의 목표는:대기 중 온실가스 농도를:0으로 만드는 것이다냥!,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,그러기 위해선:떠나기 전에:재밌는 상식들 정도는:알아두는게 좋을거다 냥!,11,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
1,,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,TRUE,1,-1
0,생각보다 우리 행동:하나하나가:탄소중립 달성에:큰 역할을 한다냥,1,FALSE,0,null,null,null,-1,-1,-1,TRUE,1,FALSE,-1,-1
0,IPCC에 따르면:자동차나 여러가지 교통수단들은:전 세계 온실가스 배출의:약 24%를 차지하고있다냥,1,FALSE,0,null,null,null,-1,-1,-1,TRUE,2,TRUE,1001,-1
0,생각보다 많지 않냥?,5,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,그렇다면:어떻게 하는게 좋을까냥?,10,TRUE,2,승용차를 타고 다녀야 하나?,도보나 대중교통을 이용하는게 좋겠지?,null,0,1,-1,FALSE,-1,FALSE,-1,1
0,아니다 냥!,9,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,TRUE,2,1
0,그거다 냥!,26,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,승용차는 1인 기준:180~250g/km의:이산화탄소를 배출한다 냥,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,하지만 그에 비해:버스나 지하철은:약 40~100g/km의:이산화탄소를 배출하고,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,심지어 자전거나 도보는:이산화탄소를 배출하지 않는다냥!,4,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,TRUE,1000,-1
0,자 이번엔:이 사진을 보도록 하장,1,FALSE,0,null,null,null,-1,-1,-1,TRUE,2,TRUE,1002,-1
0,또한 FAO 보고서에 따르면:축산업은 전 세계 온실가스의:약 14.5%를 차지하고 있다냥,4,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,따라서:육류의 소비를 줄이거나,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,수입 식품을 피하고:지역 농산물과 제철 음식을:구매하는 것만으로도:탄소량을 많이 줄일 수 있다냥!,1,TRUE,2,대단한걸?,정말 유익한 정보다!,null,0,0,-1,FALSE,-1,FALSE,-1,-1
1,토리야! 큰일났어!,12,FALSE,0,null,null,null,-1,-1,-1,TRUE,0,TRUE,2000,-1
0,무슨 일이냥??,13,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
1,우리가 가려던 산에:강아지가 우리를:방해하려 하고 있어!,12,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
1,어떡하지?:우리의 탄소중립 계획이…,12,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,걱정하지 말라냥!,11,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,TRUE,3001,-1
0,우리 곁에는:정말 든든한:조력자가 있지 않냥?,11,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
1,앗 이분이:그 소문으로만 듣던!,26,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,어떠냥 친구?,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,강아지쯤 있어도:문제 없지않냥?,11,TRUE,2,그럼! 물론이지!,나에게 맡겨둬~,null,0,0,-1,FALSE,-1,FALSE,-1,-1
1,우와 정말 감사합니다!,17,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
1,너무너무 든든하네요!,17,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,자 그럼 어서:섬으로 출발해보장!,7,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
1,어서가요!,26,FALSE,0,null,null,null,-1,-1,-1,TRUE,1,TRUE,0,-1
